Borough,Neighborhood,Latitude,Longitude
North York,Parkwoods,43.7532586,-79.3296565
North York,Victoria Village,43.7258823,-79.3155716
Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359
North York,"Lawrence Heights, Lawrence Manor",43.718518,-79.4647633
Queen's Park,Queen's Park,43.6623015,-79.3894938
Etobicoke,Islington Avenue,43.6678556,-79.5322424
Scarborough,"Rouge, Malvern",43.8066863,-79.1943534
North York,Don Mills North,43.7459058,-79.352188
East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937
Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.3789371
North York,Glencairn,43.709577,-79.4450726
Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.5547244
Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.1604971
North York,"Flemingdon Park, Don Mills South",43.7258997,-79.340923
East York,Woodbine Heights,43.6953439,-79.3183887
Downtown Toronto,St. James Town,43.6514939,-79.3754179
York,Humewood-Cedarvale,43.6937813,-79.4281914
Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.5772008
Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
East Toronto,The Beaches,43.6763574,-79.2930312
Downtown Toronto,Berczy Park,43.6447708,-79.3733064
York,Caledonia-Fairbanks,43.6890256,-79.453512
Scarborough,Woburn,43.7709921,-79.2169174
East York,Leaside,43.7090604,-79.3634517
Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
Downtown Toronto,Christie,43.669542,-79.4225637
Scarborough,Cedarbrae,43.773136,-79.2394761
North York,Hillcrest Village,43.8037622,-79.3634517
North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593
East York,Thorncliffe Park,43.7053689,-79.3493719
Downtown Toronto,"Adelaide, King, Richmond",43.6505712,-79.3845675
West Toronto,"Dovercourt Village, Dufferin",43.6690051,-79.4422593
Scarborough,Scarborough Village,43.7447342,-79.2394761
North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
North York,"Northwood Park, York University",43.7679803,-79.4872619
East York,East Toronto,43.685347,-79.3381065
Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.3817523
West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.2620294
North York,Bayview Village,43.7869473,-79.385975
North York,"CFB Toronto, Downsview East",43.7374732,-79.4647633
East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.3815764
West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.4281914
Scarborough,"Clairlea, Golden Mile, Oakridge",43.7111117,-79.2845772
North York,"Silver Hills, York Mills",43.7574902,-79.3747141
North York,Downsview West,43.7390146,-79.5069436
East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.3155716
Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169
North York,"Downsview, North Park, Upwood Park",43.7137562,-79.4900738
North York,Humber Summit,43.7563033,-79.5659633
Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.2394761
North York,"Newtonbrook, Willowdale",43.789053,-79.4084928
North York,Downsview Central,43.7284964,-79.4956974
East Toronto,Studio District,43.6595255,-79.340923
North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.4760133
North York,"Emery, Humberlea",43.7247659,-79.5322424
Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481
North York,Willowdale South,43.7701199,-79.4084928
North York,Downsview Northwest,43.7616313,-79.5209994
Central Toronto,Lawrence Park,43.7280205,-79.3887901
Central Toronto,Roselawn,43.7116948,-79.4169356
York,"The Junction North, Runnymede",43.6731853,-79.4872619
York,Weston,43.706876,-79.5181884
Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.273304
North York,York Mills West,43.7527583,-79.4000493
Central Toronto,Davisville North,43.7127511,-79.3901975
Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.4113072
West Toronto,"High Park, The Junction South",43.6616083,-79.4647633
Etobicoke,Westmount,43.696319,-79.5322424
Scarborough,"Maryvale, Wexford",43.7500715,-79.2958491
North York,Willowdale West,43.7827364,-79.4422593
Central Toronto,North Toronto West,43.7153834,-79.4056784
Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784
West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.615819
Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.5547244
Scarborough,Agincourt,43.7942003,-79.2620294
Central Toronto,Davisville,43.7043244,-79.3887901
Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493
West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599
Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.6864123,-79.4000493
Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.5013207
Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.7394164,-79.5884369
Scarborough,L'Amoreaux West,43.7995252,-79.3183887
Downtown Toronto,Rosedale,43.6795626,-79.3775294
Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.374846
Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841
Etobicoke,Northwest,43.7067483,-79.5940544
Scarborough,Upper Rouge,43.8361247,-79.2056361
Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753
Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436
Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599
East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.4985091
Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.5209994
